"longitude","latitude","navn","kommune","fylke","kategori","lenke_faktaark","forvaltningsstatus","nodhavnnummer"
"5.654982196038038","60.134115681698681","Strandvikflaket","Bjørnafjorden","Vestland","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Vest/Placeofrefuge183.pdf","Vedtatt","183"
"30.021666534976383","69.821666670845531","Holmbukt","Sør-Varanger","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Holmbuktx.pdf","Vedtatt","5"
"28.621666607263514","70.116666668383687","Karlebotn","Nesseby","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Karlebotnx.pdf","Vedtatt","10"
"28.739999936312934","70.091666668529498","Veidnesbotn","Nesseby","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Veidnesbotnx.pdf","Vedtatt","11"
"31.044999809097824","70.36666667216268","Svartnes","Vardø","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Svartnesx.pdf","Vedtatt","13"
"30.148333214373856","70.540000003258257","Nordfjord","Båtsfjord","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Nordfjordx.pdf","Vedtatt","14"
"29.77333323703623","70.643333335897495","Båtsfjord","Båtsfjord","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Baatsfjordx.pdf","Vedtatt","15"
"29.381666589118101","70.715000002025235","Kongsfjord","Berlevåg","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Kongsfjordx.pdf","Vedtatt","16"
"28.459999954192142","70.880000001139834","Tyfjord","Gamvik","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Tyfjordx.pdf","Vedtatt","17"
"28.316666623706848","70.818333334417943","Rafjord","Gamvik","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Rafjordx.pdf","Vedtatt","18"
"28.186666626198566","70.766666667691183","Hopsfjord","Gamvik","Finnmark","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Hopsfjordx.pdf","Vedtatt","19"
"28.034999962773291","70.760000000945183","Lille Skogfjord","Gamvik","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Lille_Skogfjordx.pdf","Vedtatt","20"
"27.848333300001741","70.780000000840559","Store Skogfjord","Gamvik","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Store_Skogfjordx.pdf","Vedtatt","21"
"28.084999959086293","70.463333334430317","Smalfjord","Tana","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Smalfjordx.pdf","Vedtatt","23"
"27.814999969249875","71.04833333406151","Steinfjord","Gamvik","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Steinfjordx.pdf","Vedtatt","25"
"27.538333306844169","71.00500000063299","Oksefjord","Lebesby","Finnmark","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Oksefjordx.pdf","Vedtatt","26"
