"navn","kommune","fylke","kategori","iua","lenke_faktaark","longitude","latitude","uuid_original","nodhavnnummer","forvaltningsstatus"
"Namsos m/Spillum","Namsos","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3170301_Namsos med Spillum.pdf","11.499999999090251","64.449999999530377","76419945-e40f-4352-a2f7-ea1774414cb5","3170301","Vedtatt"
"Fosnesvågen","Namsos","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3174801_Fosnesvaagen.pdf","11.316666667247944","64.683333333793911","f3830e67-7226-4d7a-9d70-21634974bc23","3174801","Vedtatt"
"Varpvika / Movika","Namsos","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3174802_Varpvika_Movika.pdf","11.416666666206821","64.696666666270204","9a5a315b-6c70-47e7-b553-685848df942e","3174802","Vedtatt"
"Løvmo kai","Nærøysund","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3175101_Loovmo kai.pdf","11.319999998956485","64.741666666698748","5d974fb9-1cf6-4f82-ad0a-86512b67d664","3175101","Vedtatt"
"Kjeøytaren","Nærøysund","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3175102_Kjeooytaren.pdf","11.550000000082843","64.799999999604907","67af6aec-d11f-4d2c-b899-5fe0479be169","3175102","Vedtatt"
"Husbysjøen","Leka","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3175501_Husbysjooen.pdf","11.729999999748511","65.086666666517999","3dcbb94d-8098-4b79-9564-a89ad7eb0d55","3175501","Vedtatt"
"Gutvik","Leka","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3175502_Gutvik.pdf","11.818500000785006","65.082833333366025","81db3dcf-2d3c-4ac0-99f2-fd75a5104775","3175502","Vedtatt"
"Vingvågen","Hitra","Trøndelag","2","Sør-Trøndelag","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3162201_Vingvaagen.pdf","9.305000000291249","63.519999999712482","d22a77a9-9ee4-4656-a8bf-2cd93e6e27b0","3162201","Vedtatt"
"Saltbuodden / Nordstattland.","Namsos","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3172501_Saltbuodden_Nordstattland.pdf","11.17000000090991","64.493333333129428","eada01bf-76e5-4bb7-a270-590402227fc2","3172501","Vedtatt"
"Leirvika","Namsos","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3172502_Leirvika.pdf","11.08333333371419","64.516666666624744","239d5fe3-7567-47f0-bf6c-658969b8c5a3","3172502","Vedtatt"
"Risvikbukta / Storhestvika","Nærøysund","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3175103_Risvikbukta_Storhestvika.pdf","11.700000000525726","64.800000000015046","b8878829-8e3e-40bd-9126-e3b811ecddca","3175103","Vedtatt"
"Ottersøy","Nærøysund","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3175104_Ottersooy.pdf","11.284999305630294","64.859159670834259","f381adda-f1fa-4905-847f-235e4c057907","3175104","Vedtatt"
"Kolvereid","Nærøysund","Trøndelag","2","Namdal","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3175105_Kolvereid.pdf","11.621666666995383","64.863333333666802","39fb37d2-2c57-4d21-9a21-121d5251a192","3175105","Vedtatt"
"Holla og Grøtvågen","Heim","Trøndelag","2","Sør-Trøndelag","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3161201_Holla og Grootvaagen.pdf","9.110000000536113","63.303333333539619","c553f374-ea45-414c-9209-d10cb9c3c38b","3161201","Vedtatt"
"Fitjavågen","Heim","Trøndelag","2","Sør-Trøndelag","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3161202_Fitjavaagen.pdf","9.126496575182994","63.345829456460216","4efe1d6f-f4de-4510-ba09-280ade300324","3161202","Vedtatt"
"Longyearbyen, Adventfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211107-Longyearbyen, Adventfjorden.pdf","15.633306289708321","78.233324999172112","b8dbf5ac-c816-4f63-b3c0-3f164b733bf3","6211107","Vedtatt"
"Engelskbukta, Forlandsundet","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211145-Engelskbukta, Forlandsundet.pdf","11.866637461811839","78.828329816133888","22385ba4-c296-4d2f-a457-35a3d051743b","6211145","Vedtatt"
"Jakobsenbukta, Woodfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211142-Jakobsenbukta, Woodfjorden.pdf","14.166651467474454","79.616663068843494","e411f952-76b7-4ff6-bba8-90691d949dee","6211142","Vedtatt"
"Pyramiden, Mimerbukta, Billefjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211143-Pyramiden, Mimerbukta, Billefjorden.pdf","16.399997163468782","78.649999941108135","bd519865-57f0-4e8d-8c82-2e97d3a510cf","6211143","Vedtatt"
"Faksevågen, Lomfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211128-Faksevaagen, Lomfjorden.pdf","17.733328781064746","79.549993849787199","69ee82aa-60a4-4a8d-b0e4-af00c9bc635b","6211128","Vedtatt"
"Palanderbukta, Nordaustlandet","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211127-Palanderbukta, Nordaustlandet.pdf","20.78328028941452","79.574993985059294","0ef4a6bd-602b-4580-b5f2-8eaa6ed87bf6","6211127","Vedtatt"
"Binnebukta, Bjørnsundet","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211129-Binnebukta, Bjoornsundet.pdf","19.999973678198216","79.071658961043454","98f6aa0a-ba78-488c-a1d7-d257a5928e63","6211129","Vedtatt"
"Sundbukta, Freemansundet","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211131-Sundbukta, Freemansundet.pdf","20.833302545089467","78.208326545283626","2aaac2df-71da-4356-ab7a-530e17ed2ef8","6211131","Vedtatt"
"Agardhbukta, Storfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211132-Agardhbukta, Storfjorden.pdf","18.566630184812471","77.999998117938219","b5e72e69-a3b6-4824-85e1-db080786c75c","6211132","Vedtatt"
